estilo	livro	capitulo	versiculo	texto
PDT	Mateo	1	1	Esta es la lista de antepasados de Jesús el Mesías , descendiente de David y de Abraham .
PDT	Mateo	1	2	Abraham fue el papá de Isaac . Isaac fue el papá de Jacob . Jacob fue el papá de Judá y de sus hermanos .
PDT	Mateo	1	3	Judá fue el papá de Fares y Zara ( Tamar fue la mamá ) . Fares fue el papá de Esrom . Esrom fue el papá de Ram .
PDT	Mateo	1	4	Ram fue el papá de Aminadab . Aminadab fue el papá de Naasón . Naasón fue el papá de Salmón .
PDT	Mateo	1	5	Salmón fue el papá de Booz ( Rahab fue la mamá ) . Booz fue el papá de Obed ( Rut fue la mamá ) . Obed fue el papá de Isaí .
PDT	Mateo	1	6	Isaí fue el papá del rey David . David fue el papá de Salomón ( la mamá de Salomón había sido esposa de Urías ) .
PDT	Mateo	1	7	Salomón fue el papá de Roboam . Roboam fue el papá de Abías . Abías fue el papá de Asaf .
PDT	Mateo	1	8	Asaf fue el papá de Josafat . Josafat fue el papá de Joram . Joram fue el papá de Uzías .
PDT	Mateo	1	9	Uzías fue el papá de Jotam . Jotam fue el papá de Acaz . Acaz fue el papá de Ezequías .
PDT	Mateo	1	10	Ezequías fue el papá de Manasés . Manasés fue el papá de Amón . Amón fue el papá de Josías .
PDT	Mateo	1	11	Josías fue el abuelo de Jeconías [ a ] y de sus hermanos ( esto fue en el tiempo en que el pueblo de Judá fue llevado a Babilonia ) .
PDT	Mateo	1	12	Después de que se los llevaron a Babilonia : Jeconías fue el papá de Salatiel . Salatiel fue el papá de Zorobabel .
PDT	Mateo	1	13	Zorobabel fue el papá de Abiud . Abiud fue el papá de Eliaquim . Eliaquim fue el papá de Azor .
PDT	Mateo	1	14	Azor fue el papá de Sadoc . Sadoc fue el papá de Aquim . Aquim fue el papá de Eliud .
PDT	Mateo	1	15	Eliud fue el papá de Eleazar . Eleazar fue el papá de Matán . Matán fue el papá de Jacob .
PDT	Mateo	1	16	Jacob fue el papá de José , que era el esposo de María , la mamá de Jesús a quien se le conoce como el Mesías .
PDT	Mateo	1	17	Así que hubo catorce generaciones desde Abraham hasta David , catorce desde David hasta que deportaron a los israelitas a Babilonia , y otras catorce desde que deportaron a los israelitas a Babilonia hasta el nacimiento del Mesías . Nacimiento de Jesús el Mesías ( Lc 2:1-7 )
